"","Monomorium_chinense","Oecophylla_smaragdina","Tapinoma_indicum","Tapinoma_melanocephalum","Tetraponera_attenuata"
"d_Rb1_04",0,0,0,0,3
"d_Rb1_05",0,0,0,71,11
"d_Rb1_06",0,0,0,0,47
"d_Rb1_07",0,0,0,0,41
"d_Rb1_08",0,0,0,0,20
"d_Rb2_02",0,0,0,224,0
"d_Rb2_03",0,0,0,0,2
"d_Rb2_04",0,1,0,0,0
"d_Rb2_07",0,0,27,0,0
"d_Rb2_08",1,0,0,0,8
"d_Rb2_10",0,0,0,0,2
"d_Rb3_01",0,0,0,0,1
"d_Rb3_02",0,0,52,0,0
"d_Rb3_03",2,0,0,46,0
"d_Rb3_04",0,0,2,0,0
"d_Rb3_05",0,1,0,0,0
"d_Rb3_06",0,0,0,168,0
"d_Rb3_07",0,0,0,0,2
"d_Rb3_08",0,0,0,44,0
"d_Rb4_01",0,0,12,0,0
"d_Rb4_02",0,24,0,0,1
"d_Rb4_03",0,0,0,0,14
"d_Rb4_04",205,0,0,0,5
"d_Rb4_07",155,0,0,0,0
"d_Rb4_09",0,0,0,0,5
"d_Rb4_10",149,0,0,0,2
"d_Rb5_01",0,0,0,0,6
"d_Rb5_02",0,0,0,0,72
"d_Rb5_03",465,0,0,0,0
"d_Rb5_04",0,0,0,0,1
"d_Rb5_05",0,0,0,0,23
"d_Rb5_06",0,0,0,0,17
"d_Rb5_07",0,0,0,0,15
"d_Rb5_08",0,0,0,54,0
"d_Rb5_09",0,0,0,0,20
"d_Rb6_07",0,0,0,1,0
"d_Rb6_10",0,0,15,0,0
"d_Rn1_01",0,0,0,0,2
"d_Rn1_04",0,217,0,0,0
"d_Rn1_07",0,0,0,0,15
"d_Rn1_10",0,1,0,0,0
"d_Rn2_02",0,0,0,65,7
"d_Rn2_03",0,0,0,20,0
"d_Rn2_04",0,27,0,4,4
"d_Rn2_05",0,0,0,2,0
"d_Rn2_08",0,0,0,3,0
"d_Rn2_09",0,0,0,0,41
"d_Rn2_10",0,0,0,6,12
"d_Rn3_01",0,393,0,0,0
"d_Rn3_02",0,151,0,2,0
"d_Rn3_04",0,0,0,5,0
"d_Rn3_05",0,0,0,0,8
"d_Rn3_06",0,129,0,0,0
"d_Rn3_07",79,0,0,0,31
"d_Rn3_08",0,0,0,25,0
"d_Rn3_09",0,0,0,7,0
"d_Rn3_10",0,404,0,0,0
"d_Rn4_03",0,0,0,3,4
"d_Rn4_04",0,0,0,0,5
"d_Rn4_07",0,0,0,37,0
"d_Rn4_08",0,0,0,0,9
"d_Rn4_10",0,0,0,0,17
"d_Rn5_01",0,0,0,25,0
"d_Rn5_04",0,22,0,0,0
"d_Rn5_05",0,0,0,74,0
"d_Rn5_07",0,0,0,87,0
"d_Rn5_08",0,0,0,5,1
"d_Rn5_09",0,0,0,4,9
"d_Rn5_10",0,0,0,1,8
"d_Rn6_02",0,0,0,0,1
"d_Rn6_03",0,0,0,37,0
"d_Rn6_06",0,0,0,70,0
"d_Rn6_07",0,0,0,1,0
"d_Rx1_01",51,0,0,0,0
"d_Rx1_03",83,0,0,0,3
"d_Rx1_04",0,2,0,0,0
"d_Rx1_05",92,0,0,0,0
"d_Rx1_06",3,0,0,0,5
"d_Rx1_07",248,1,0,0,0
"d_Rx1_08",6,0,0,2,18
"d_Rx1_10",0,0,0,0,8
"d_Rx2_01",0,0,0,1,8
"d_Rx2_02",0,0,0,0,3
"d_Rx2_03",0,59,0,0,0
"d_Rx2_04",0,0,0,0,3
"d_Rx3_01",0,0,1,0,8
"d_Rx3_02",0,0,4,0,5
"d_Rx3_03",0,0,6,0,2
"d_Rx3_05",243,0,0,0,0
"d_Rx3_06",0,0,4,9,0
"d_Rx3_07",0,0,0,0,4
"d_Rx3_09",0,4,0,0,0
"d_Rx4_01",0,84,0,0,50
"d_Rx4_02",0,0,0,0,11
"d_Rx4_03",37,0,0,0,0
"d_Rx4_04",0,0,0,3,0
"d_Rx4_05",0,13,0,0,0
"d_Rx4_07",0,75,0,0,0
"d_Rx4_09",0,500,0,0,0
"d_Rx4_10",0,165,0,0,0
"d_Rx5_02",0,0,8,0,0
"d_Rx5_03",0,0,12,1,3
"d_Rx5_04",0,36,0,0,5
"d_Rx5_06",0,74,0,0,0
"d_Rx5_07",0,24,0,0,0
"d_Rx5_08",0,169,0,0,3
"d_Rx5_09",0,0,95,0,0
"d_Rx5_10",0,20,0,0,1
"d_Rx6_02",0,0,0,0,3
"d_Rx6_03",0,0,0,0,1
"d_Rx6_07",0,0,0,0,3
"d_Rx6_09",0,18,0,0,0
